video_id,author,comment,likes,published
CPWxExGk7PM,@JustineBelga-c4y,The nostalgia 😭😭😭😭😭😭,1,2025-05-19T04:31:12Z
CPWxExGk7PM,@hanDlebrojam,i be listening to this song secretly away from the boys,0,2025-05-19T04:02:56Z
CPWxExGk7PM,@codeleagueftr,Where is the epilepsy warning 😑😐😑😐,0,2025-05-19T03:11:07Z
CPWxExGk7PM,@codeleagueftr,Here from a Rosé instagram video 🩷,0,2025-05-19T03:10:40Z
CPWxExGk7PM,@codeleagueftr,Here from a Rosé instagram video 🩷,0,2025-05-19T03:01:25Z
CPWxExGk7PM,@xiayu1994,The AiRpOrT,0,2025-05-18T19:21:03Z
CPWxExGk7PM,@Dreamia123,I loved brat summer 🍏 ⚡️,1,2025-05-18T16:38:58Z
CPWxExGk7PM,@user-dn4uk2ne2i,1:19,0,2025-05-18T16:36:37Z
CPWxExGk7PM,@DILLA_SND2008,Who comes watching after rosie short video,1,2025-05-18T07:53:19Z
CPWxExGk7PM,@LAVADER_ROBLOX_YT,I got hypnotised at the end 😭💀,0,2025-05-18T06:04:14Z
CPWxExGk7PM,@dinobot822,https://silentsonicwrangler.blogspot.com/2025/05/the-battle-between-anonymous-and.html,0,2025-05-18T00:29:05Z
CPWxExGk7PM,@dinobot822,"Eris Goddess of Discord, The Goddess found you.  In many of your forms. Hana Renee Ms Anonymous after take over.  Ms, Anonymous its Raul's sister. I am Mr. Mystery https://silentsonicwrangler.blogspot.com/2025/05/directional-word-location.html https://silentsonicwrangler.blogspot.com/2025/05/requesting-safe-passage-thru-kali.html https://silentsonicwrangler.blogspot.com/2025/05/the-story-of-apple-of-my-eye.html",0,2025-05-18T00:27:25Z
CPWxExGk7PM,@Rebel_Pharoh,This song just made it impossible to post a video. Thanks random fortnite emote.,0,2025-05-17T20:20:41Z
CPWxExGk7PM,@ririzzz_d,This song also deserves an MV.,2,2025-05-16T06:09:29Z
CPWxExGk7PM,@JustineBelga-c4y,It's almost a year now 😢,9,2025-05-16T04:12:54Z
CPWxExGk7PM,@JustineBelga-c4y,⚠ WARNING ⚠ YOU WILL BE BLIND AFTER THIS VIDEO SO BUY NEW EYES 👀,2,2025-05-16T04:12:29Z
CPWxExGk7PM,@_funeuv,NO WAY ITS ALMOST BEEN A YEAR 💔,2,2025-05-16T01:16:12Z
CPWxExGk7PM,@blackishpariah,Love this song,1,2025-05-15T21:20:37Z
CPWxExGk7PM,@floramachin,Who else is thinking about rolling their skirt up to get past ur form tutor rn??,0,2025-05-15T20:50:28Z
CPWxExGk7PM,@franz1577,it’s apple time!,1,2025-05-15T18:52:45Z
CPWxExGk7PM,@DanielOBrien-l2e,To the airport soon it is this stuck on repeat all the time,1,2025-05-15T14:34:11Z
CPWxExGk7PM,@IanTimbol-c7n,Queen of making me blind🎉,1,2025-05-15T11:40:39Z
CPWxExGk7PM,@JustineBelga-c4y,I missed this song its so nostagic😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,2,2025-05-15T09:42:24Z
